School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Kerikeri High School,Tai Tokerau,2019,Highlighted matter,"We drew attention disclosures outlining that the School is experiencing serious financial difficulties as it has a working capital deficit of $303,958. These financial statements are prepared on a going concern basis. The Ministry of Education has confirmed it will support the school to meet its obligations.",,,,,173.955389,-35.228354
Logan Park High School,"Otago, Southland",2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. It has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,,,170.528807,-45.861858
Maniototo Area School,"Otago, Southland",2019,Highlighted matter,We drew attention to disclosures outlining that the school had reversed its provision for cyclical maintenance. There was uncertainty about the property maintenance the school is obliged to carry out because it is part of the Schools Rebuild Programme.,,,,,170.099776,-45.125268
Mapiu School,Waikato,2018,Highlighted matter,We drew attention to disclosures about the Board using a disestablishment basis of accounting to prepare its financial statements because the school closed on 27 January 2019.,,,,,175.199936,-38.56427
Mercury Bay Area School,Waikato,2019,Highlighted matter,We drew attention to disclosures about the school's serious financial difficulties. It has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,,,175.698102,-36.841247
Mountainview High School,"Canterbury, Chatham Islands",2018,Limitation,"Our audit of the comparative information in the financial statements was limited because for 2017 we were unable get enough assurance for some of the Board's expenditure. We could verify expenditure on the payroll, notional lease costs of buildings owned by the Ministry of Education, and depreciation.",,,,,171.219535,-44.376707
Nelson Christian Academy,"Nelson, Marlborough, West Coast",2019,Highlighted matter,We drew attention to disclosures about the school's serious financial difficulties. It has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,173.244053,-41.31628
Nelson College,"Nelson, Marlborough, West Coast",2018,Highlighted matter,"We drew attention to the fact that the school faced serious financial difficulties, and has incurred several deficits over recent years. The school relies on support from the Ministry of Education to meet its obligations as they fall due.We also highlighted that the Board of Trustees breached the law by failing to submit its financial statements to the Auditor-General by 31 March 2019 and to the Ministry of Education by 31 May 2019, and not preparing its financial statements in keeping with the format required by the Ministry of Education.",,,,,173.275569,-41.285573
Northland College,Tai Tokerau,2019,Highlighted matter,"We highlighted that the school failed to comply with section 73 of the Education Act 1989. It failed to get permission from the Ministers of Education and Finance before it acquired securities (shares in Fonterra, Balance and LLC) of $395,591. Shares have been owned for many years and authority has been sought from the Ministry.",,,,,173.809917,-35.413889
Omanaia School,Tai Tokerau,2019,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due. ,,,,,173.524334,-35.456578
